Date,Ijora Energy Delivered[kWh] (Customers),Ijora Energy Billed [kWh] +PPM (Customers),Ijora PPM Vended [kWh] (Customers),Ijora KCG (Customers),Ijora NON KCG (Customers),Ijora PPM (Customers),Ijora TOTAL (Customers),Ijora KCG (Billing),Ijora NON KCG (Billing),Ijora PPM* (Billing),Ijora KCG+NKCG+PPM (Billing),Ijora KCG (Collection),Ijora NON KCG (Collection),Ijora PPM* (Collection),Ijora KCG+NKCG (Collection)
31/01/2015,"19,627,210","17,714,684","2,300,866",519,"23,021",,"23,540","181,201,240","141,105,330","46,525,390","368,831,959.84","144,510,510.75","103,336,889.52","46,525,390","294,372,790"
28/02/2021,20737560,18303769.27,2010886.27,522,22910,,23432,229923102.5,157937202.5,44073280,431933585,112067110.6,114942098.6,44073280,271082489.2
15/03/2021,18548980,16696755.47,1929548.47,523,22909,,23432,198188037.9,148764354.2,44182293.38,391134685.5,212848264.4,74488621.32,44182293.38,331519179.1
15/04/2021,17058880,16274682.44,1942023.44,524,23007,,23531,201771054.7,137201856.7,40502810,379475721.4,162606207.2,85351660.93,40502810,288460678.2
15/05/2021,15633430,13767915.56,1758393.56,523,23034,,23557,155937060.9,127511263.7,32133300,315581624.6,117948510.8,66050275.21,32133300,216132086
15/06/2021,13126600,11143728.15,1402756.15,523,23024,,23547,148554477,93361501.9,48428960.16,290344939,130284920.6,94518537.42,48428960.16,273232418.2
15/07/2021,20177810,17749838.99,2058137.99,524,23070,,23594,196812335.1,162098236.9,60385091,419295663,162479690.3,112764502.9,60385091,335629284.2
15/08/2021,20177810,17749838.99,2058137.99,524,23070,,23594,231226788.1,213836564.1,60315810,505379162.2,185324857.7,124214726.5,60315810,369855394.1
15/09/2021,29707688,24934910.01,2769627.01,532,20894,,21426,255196288,233320013.7,63113026.04,551629327.7,151280560.8,123627675.1,63113026.04,338021262
15/10/2021,28211219,24582532.06,2954820.06,538,20988,,21526,249839643.4,227307661.3,63212860,540360164.7,240534173.8,134016145.9,63212860,437763179.7
15/11/2021,27958017,24061652.96,2957409.96,541,21122,,21663,251470965.7,216660607.3,55506415,523637988,199173863.6,134410830.9,55506415,389091109.4
15/12/2021,23420231,20554699.04,2535429.04,542,21228,,21770,239791855.5,174939081.4,58941191,473672128,190866224.5,130321338.6,58941191,380128754.2
16/01/2021,21223952,19013833,2514846,543,21230,20479,42252,219980148.6,163377705,54996096.87,438353950.5,180245465,122956690.7,54996096.87,358198252.6
16/02/2021,23950107,20911575,2622359.91,548,21087,20479,42114,235938168,181722008,57285082,474945258,176828189.9,122431208.1,57285082,356544480
16/03/2021,22064729,19597969,1876235,549,21345,20717,42611,279643421,236062759,63677350,579383530,199706123.2,128699944.4,63677350,392083417.5
16/04/2021,20766592,18031581,2120011,553,21332,20953,42838,264199670,197732612,52998315,514930597,197968967.7,105125808.3,52998315,356093091
16/05/2021,14357906,13204521,1715568,555,21293,21048,42896,202959345,135413737,39619008,377992090,137600697.3,83444901.43,39619008,260664606.8
16/06/2021,11798400,10558162,906759,559,21270,21333,43162,184071025,96558495,31300700,311930220,146901419.4,66271085.96,31300700,244473205.4
16/07/2021,9100504,8399806,1001219,561,21184,21508,43253,139333474.3,75252895.4,45017740,259604109.7,109114977.1,78024041.23,45017740,232156758.3
16/08/2021,15719717.99,14071502.78,1376171.78,570,21293,21509,43372,245789160.1,121399676,71420080,438608916.1,137365487.4,103052682.6,71420080,311838249.9
16/09/2021,22520520,18745917.37,2298031,577,21347,21745,43669,268171648.4,208297123.2,78677715,555146486.6,179948660,122619378.5,78677715,381245753.5
16/10/2021,23531088.16,19917343.71,2572985,581,21402,21804,43787,287879660.7,213183222.2,80697600,581760482.9,188088266.2,135000360,80697600,403786226.1
16/11/2021,23788250,21458614.24,2390950.24,581,21402,21804,43787,353908019.4,200386884.9,78363165,632658069.4,217919154.9,144622063.7,78363165,440904383.6
16/12/2021,18673910,15187570.98,2592439.98,586,21604,21804,43994,233912844.4,141933628.7,78363165,454209638.1,201812836.9,101856071.8,67347550,371016458.7
17/01/2021,19530432.55,15492508.1,590,21566,22025,44181,206073450.5,179608747.5,54964084,440646282,179788030.5,112965582.1,54964084,347717696.6,0.872446354
17/02/2021,16822320.78,13797576.46,599,21467,22025,44091,174438875,165106945.4,72254078,411799898.4,155474053.6,123114522.9,72254078,350842654.6,0.891280992
