Date,11KV Feeder [Census ],11KV Feeder [Bagco ],11KV Feeder [Kernel],11KV Feeder [Novelty],Total
1/1/2019,56.1,28.5,14.1,12,110.7
1/2/2019,28.8,14.4,12.1,14,69.3
1/3/2019,39.5,20.2,12.3,8.7,80.7
1/4/2019,41.5,20.6,15,16.1,93.2
1/5/2019,40.5,18.9,14.5,13.4,87.3
1/6/2019,40.5,19.3,12.8,3,75.6
1/7/2019,34.9,18.1,13,14.5,80.5
1/8/2019,38.2,20.1,14.6,28.9,101.8
1/9/2019,34.4,21.7,13,24.7,93.8
1/10/2019,44.4,25.2,15,24.9,109.5
1/11/2019,42.4,24.8,14.1,21.4,102.7
1/12/2019,34.5,28.7,12.6,20.9,96.7
1/13/2019,31.8,18.9,10.4,8.5,69.6
1/14/2019,37.2,20.2,15.6,19.3,92.3
1/15/2019,40.4,20.4,12.2,24.6,97.6
1/16/2019,49,21.9,8.7,33.2,112.8
1/17/2019,34.5,28.7,12.6,20.9,96.7
1/18/2019,21.9,17.5,9,16.1,64.5
1/19/2019,9.9,17.1,11,18.1,56.1
1/20/2019,15.3,25.8,11.7,8.4,61.2
1/21/2019,18.1,24.1,15.1,15.1,72.4
1/22/2019,33.7,22.9,12.2,23.2,92
1/23/2019,40.4,21.6,12.8,25.8,100.6
1/24/2019,36.6,19.6,10.3,28.5,95
1/25/2019,26.4,10.7,8.9,10.8,56.8
1/26/2019,38.3,21,12.4,18.8,90.5
1/27/2019,38.3,17.2,14.4,12.7,82.6
1/28/2019,40.1,12,15.4,26,93.5
1/29/2019,38,12.7,12.4,25.2,88.3
1/30/2019,2.7,7.3,10.1,16.5,36.6
1/31/2019,34.5,28.7,12.6,20.9,96.7
2/1/2019,39.9,17.2,15.4,20.3,92.8
2/2/2019,40.2,18.2,16.6,18.2,93.2
2/3/2019,42.1,17.4,15.3,3.1,77.9
2/4/2019,34.7,21.7,12.8,21.6,90.8
2/5/2019,47.2,23.6,12,30.1,112.9
2/6/2019,40.2,21.5,14.3,32.2,108.2
2/7/2019,39.8,29.6,16.2,36.2,121.8
2/8/2019,35.4,17.2,12.4,21.1,86.1
2/9/2019,51.5,19.8,13.5,18,102.8
2/10/2019,45.6,19.5,14.2,10.3,89.6
2/11/2019,24.3,27,16.8,10.3,78.4
2/12/2019,55.8,28.8,15.6,31.7,131.9
2/13/2019,42.8,19,15.6,23.8,101.2
2/14/2019,49,27.7,16.6,34.5,127.8
2/15/2019,46.9,29.9,16.8,15.4,109
2/16/2019,47.9,26.2,16.6,1.5,92.2
2/17/2019,40.9,27.7,14.6,9.8,93
2/18/2019,43.4,32.9,17.8,30.5,124.6
2/19/2019,44.2,29.1,14.7,21.3,109.3
2/20/2019,41.3,20.9,15.4,24,101.6
2/21/2019,47.5,32.5,18.8,32.2,131
2/22/2019,45.9,27.7,18,22.2,113.8
2/23/2019,40.8,26.3,18.4,14.4,99.9
2/24/2019,31,7.8,14.8,6.8,60.4
2/25/2019,34.2,13.4,12.5,21.6,81.7
2/26/2019,31.8,24.5,13.7,20.2,90.2
2/27/2019,32,7.2,11.1,5.9,56.2
2/28/2019,39.7,19.5,13,1.1,73.3
3/1/2019,32.5,18.4,14.4,3.2,68.5
3/2/2019,37.8,25.9,15,18.7,97.41
3/3/2019,36.1,22.8,15.6,8.5,83
3/4/2019,44.1,30.4,17.4,30,121.9
